1.56 15624 12697 17149 10539 21878 15840 10875 10895 26559 9966 10185 10241 35834 7894 9871 10093 35635 10927 13634 16028 11108 35788 11218 15670 35629 11168 10580 16217
1.86 15616 12695 17128 10535 21871 15833 10873 10893 26614 9950 10187 10235 35854 7861 9872 10094 35635 10919 13640 16057 11097 35789 11263 15710 35631 11167 10582 16215
2.26 15592 12690 17128 10534 21878 15838 10869 10894 26581 9952 10187 10235 35818 7876 9875 10090 35637 10923 13658 16056 11097 35790 11345 15746 35629 11158 10582 16210
2.6 15591 12717 17131 10541 21873 15835 10874 10893 26605 9953 10187 10236 35814 7878 9869 10095 35655 10928 13676 16076 11103 35778 11429 15808 35635 11163 10585 16237
2.92 15607 12698 17115 10537 21840 15862 10875 10893 26585 9968 10189 10237 35840 7864 9870 10095 35636 10920 13710 16113 11089 35796 11504 15863 35632 11174 10593 16233
3.26 15617 12697 17102 10537 21842 15837 10879 10899 26582 9945 10191 10248 35819 7858 9879 10094 35626 10922 13707 16110 11089 35783 11591 15892 35626 11160 10589 16216
3.56 15600 12706 17103 10538 21868 15880 10875 10898 26610 9946 10183 10236 35825 7894 9869 10088 35644 10923 13713 16130 11091 35789 11646 15937 35627 11165 10590 16227
3.98 15594 12693 17108 10538 21855 15867 10871 10898 26580 9954 10187 10232 35837 7910 9870 10085 35639 10912 13735 16143 11097 35790 11702 16005 35616 11171 10593 16229
4.76 15622 12701 17113 10536 21844 15826 10874 10894 26587 9953 10186 10241 35825 7882 9862 10087 35617 10914 13758 16162 11087 35781 11768 16041 35630 11173 10600 16208
5.28 15612 12698 17111 10533 21852 15835 10869 10894 26586 9961 10184 10234 35826 7892 9876 10088 35650 10911 13786 16176 11084 35783 11822 16102 35624 11161 10596 16211
5.96 15578 12722 17106 10536 21868 15868 10871 10893 26578 9950 10187 10235 35813 7857 9870 10091 35632 10913 13784 16180 11084 35779 11869 16141 35635 11178 10606 16227
6.98 15588 12683 17137 10535 21842 15842 10867 10893 26598 9945 10182 10233 35818 7870 9863 10087 35593 10904 13805 16223 11081 35769 11930 16190 35638 11166 10595 16216
8.64 15602 12702 17136 10531 21842 15840 10864 10891 26563 9956 10183 10241 35823 7861 9851 10081 35599 10902 13876 16269 11083 35771 11993 16262 35642 11169 10590 16220
10.76 15614 12679 17091 10531 21865 15838 10859 10890 26573 9943 10172 10229 35814 7855 9860 10093 35627 10884 13911 16300 11070 35750 12095 16342 35623 11159 10598 16200
